"Age","Android Version","Gender","Group UUID","Subject ID"
"37","Android 11.0 (API 30)","MALE","18ea2510-879d-45b0-834c-2bbef42c0007","AM29"
"36","Android 10.0 (API 29)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0007","CE17"
"51","Android 13.0 (API 33)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0006","Ei31"
"29","Android 10.0 (API 29)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0005","HJ42"
"25","Android 14.0 (API 34)","MALE","18ea2510-879d-45b0-834c-2bbef42c0008","HO30"
"25","Android 10.0 (API 29)","MALE","18ea2510-879d-45b0-834c-2bbef42c0008","LJ16"
"30","Android 14.0 (API 34)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0006","MN03"
"22","Android 12.0 (API 31)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0009","MV18"
"29","Android 11.0 (API 30)","MALE","18ea2510-879d-45b0-834c-2bbef42c0009","Mu06"
"56","Android 13.0 (API 33)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0004","SS83"
"21","Android 9.0 (API 28)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0004","Ss26"
"35","Android 10.0 (API 29)","MALE","18ea2510-879d-45b0-834c-2bbef42c0012","ej15"
"35","Android 14.0 (API 34)","MALE","18ea2510-879d-45b0-834c-2bbef42c0005","hp21"
"35","Android 14.0 (API 34)","MALE","18ea2510-879d-45b0-834c-2bbef42c0010","mm01"
"32","Android 12.0 (API 31)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0010","mm02"
"26","Android 14.0 (API 34)","MALE","18ea2510-879d-45b0-834c-2bbef42c0011","mt28"
"28","Android 10.0 (API 29)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0002","nf29"
"22","Android 14.0 (API 34)","MALE","18ea2510-879d-45b0-834c-2bbef42c0011","rr16"
"26","Android 9.0 (API 28)","FEMALE","18ea2510-879d-45b0-834c-2bbef42c0012","sm07"
"29","Android 13.0 (API 33)","MALE","18ea2510-879d-45b0-834c-2bbef42c0002","uj20"