"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","G00001","G00002","G00003","RSHCI01[RSHCI1]","RSHCI01[RSHCI2]","RSHCI01[RSHCI3]","RSHCI01[RSHCI4]","RSHCI01[RSHCI5]","AC01[AC1]","RSHCI02[RSHCI6]","RSHCI02[RSHCI7]","RSHCI02[RSHCI8]","RSHCI02[RSHCI9]","AC02[AC2]","RSHCI03[RSHCI10]","RSHCI03[RSHCI11]","RSHCI03[RSHCI12]","RSHCI03[RSHCI13]","PCI[PCI1]","PCI[PCI2]","PCI[PCI3]","PCI[PCI4]","PCI[PCI5]","PCI[PCI6]","AC03[AC3]","PDSO01[PDSO1]","PDSO01[PDSO2]","PDSO01[PDSO3]","PDSO02[PDSO4]","PDSO02[PDSO5]","PDSO02[PDSO6]","PS[PS1]","PS[PS2]","PS[PS3]","PS[PS4]","PS[PS5]","PS[PS6]","PS[PS7]","PS[PS8]","PS[PS9]","PS[PS10]","IOS","CSI"
"35","2024-03-18 21:10:04","5","en","531390289","2024-03-18 21:01:48","2024-03-18 21:10:03","uj20","A","uj20 1710795270700","4","5","3","4","4","","3","3","3","2","1","3","2","2","2","7","1","7","7","7","5","","1","7","2","6","2","2","3","2","1","2","2","4","2","3","2","1","7","Game night "
"37","2024-03-19 06:38:18","5","en","1526551767","2024-03-19 06:35:04","2024-03-19 06:38:18","uj20","A","uj20 1710826645878","5","5","4","5","5","","2","1","1","1","","1","1","1","2","7","7","6","6","6","4","","1","7","1","7","2","2","1","1","1","2","4","4","3","3","2","1","7","Breakfast "
"38","2024-03-19 16:43:32","5","en","829593061","2024-03-19 16:29:20","2024-03-19 16:43:32","SS83","B","SS83 1710863791301","4","4","3","4","3","","2","2","2","2","","3","2","2","2","6","5","6","6","6","4","","4","5","5","6","2","2","4","3","3","4","3","4","4","3","2","1","5","Time to speak "
"39","2024-03-19 18:46:35","5","en","1929677811","2024-03-19 18:33:51","2024-03-19 18:46:35","Ss26","B","Ss26 1710863629412","4","3","4","4","4","4","2","1","2","1","","1","1","2","2","6","5","6","6","6","4","","2","6","3","6","2","2","3","2","2","2","2","3","4","2","3","3","5","Lunch together "
"41","2024-03-22 07:26:49","5","en","2024053907","2024-03-22 07:18:42","2024-03-22 07:26:49","SS83","","SS83 1711063901945","4","4","3","4","4","","4","2","2","2","","2","2","2","3","6","2","6","6","6","3","","2","6","2","6","2","2","4","3","2","4","4","4","4","3","2","2","6","Party"
"43","2024-03-24 10:00:25","5","en","1104722102","2024-03-24 09:53:35","2024-03-24 10:00:25","SS83","B","SS83 1711272696599","5","5","4","5","4","","4","2","4","2","","3","2","2","3","6","3","6","4","6","4","","3","6","3","6","3","3","4","4","2","3","3","4","4","3","2","2","2","Short meeting "
"44","2024-03-25 19:13:45","5","en","475138299","2024-03-25 19:05:52","2024-03-25 19:13:45","hp21","A","hp21 1711393200984","3","3","4","2","4","","1","2","3","4","","3","3","3","3","6","3","5","6","5","6","","5","4","4","5","5","3","3","2","1","2","3","3","4","3","2","3","6","Dinner and watching series "
"45","2024-03-26 08:30:19","5","en","1827183836","2024-03-26 08:26:39","2024-03-26 08:30:19","uj20","B","uj20 1711434134420","5","5","4","4","4","","2","1","2","1","","1","1","1","1","7","1","7","6","7","6","","2","6","2","6","2","2","2","2","2","2","3","3","3","2","2","1","7","Movie night"
"46","2024-03-26 18:36:48","5","en","1083023113","2024-03-26 18:22:32","2024-03-26 18:36:48","HJ42","A","HJ42 1711396694554","3","4","4","4","4","","2","2","2","2","","2","1","2","2","6","4","6","6","6","5","A3","3","6","4","5","5","3","3","2","2","2","2","3","3","3","2","2","5","dinner together "
"47","2024-03-27 17:51:14","5","en","1928777200","2024-03-27 17:40:03","2024-03-27 17:51:14","AM29","A","AM29 1711560877851","2","4","4","5","5","","1","1","1","1","","1","1","1","2","7","2","6","6","6","2","","6","2","6","6","6","6","1","1","1","1","4","4","2","1","4","2","7","Coffee and Tee"
"48","2024-03-27 17:54:44","5","en","595070983","2024-03-27 17:40:13","2024-03-27 17:54:44","CE17","A","CE17 1711560658664","4","4","4","4","4","2","2","2","2","2","","3","2","3","3","6","2","5","6","6","2","","2","6","2","2","2","6","3","2","2","2","4","4","4","4","3","3","5","Coffee"
"49","2024-03-28 05:49:33","5","en","1704929284","2024-03-28 05:43:17","2024-03-28 05:49:33","AM29","A","AM29 1711576943006","5","5","5","5","5","","2","2","2","2","1","2","2","2","2","6","2","6","6","6","2","","2","6","2","6","2","6","1","1","1","1","4","4","2","1","4","1","7","Coffee and tea "
"51","2024-03-28 18:59:20","5","en","1378572276","2024-03-28 18:54:36","2024-03-28 18:59:20","AM29","A","AM29 1711649517880","5","5","5","5","5","","2","2","2","1","","2","2","2","2","6","2","6","6","6","6","","2","6","2","6","2","2","1","1","1","1","4","4","2","1","4","2","7","Dinner"
"52","2024-03-28 19:24:45","5","en","1803886030","2024-03-28 19:19:24","2024-03-28 19:24:45","CE17","","CE17 1711652549344","4","4","4","4","4","1","2","2","2","2","","3","2","2","3","6","2","6","6","6","5","","2","6","2","2","2","6","3","2","2","2","4","4","4","4","3","2","6","Dinner"
"53","2024-03-28 20:59:46","5","en","1103447796","2024-03-28 20:55:01","2024-03-28 20:59:46","CE17","A","CE17 1711657687084","4","4","4","4","4","","2","2","2","2","2","2","2","2","3","6","2","6","6","6","6","A6","2","6","2","3","2","6","2","2","2","2","4","4","4","4","2","2","6","Dinner"
"55","2024-03-29 15:13:07","5","en","1509703895","2024-03-29 15:09:47","2024-03-29 15:13:07","CE17","A","CE17 1711720074318","4","4","4","4","4","","2","2","2","2","","3","3","3","3","6","2","6","6","6","6","","2","6","2","1","2","6","2","2","2","2","4","4","4","4","2","2","6","Breakfast"
"56","2024-03-30 06:26:54","5","en","1428611922","2024-03-30 06:21:44","2024-03-30 06:26:54","AM29","A","AM29 1711749895285","4","4","4","4","4","","2","2","2","2","","2","2","2","2","6","2","6","6","6","6","","2","6","2","6","2","2","2","1","1","1","4","4","2","1","3","1","7","Breakfast"
"57","2024-03-30 11:30:21","5","en","1196947697","2024-03-30 11:25:34","2024-03-30 11:30:21","CE17","A","CE17 1711795796351","4","4","4","4","4","","2","2","2","2","","3","3","3","3","6","2","6","6","6","6","","2","6","2","2","2","6","2","2","2","2","4","4","4","4","2","2","6","Breakfast"
"58","2024-03-30 14:41:05","5","en","1624126617","2024-03-30 14:37:33","2024-03-30 14:41:05","CE17","A","CE17 1711800155043","4","4","4","4","4","","2","2","2","2","","3","3","3","3","6","2","6","6","6","6","A6","2","6","2","2","2","6","2","2","2","2","4","4","4","4","2","2","6","Lunch"
"59","2024-03-31 09:50:27","5","en","1622746496","2024-03-31 09:46:36","2024-03-31 09:50:27","AM29","A","AM29 1711875580622","4","4","4","4","4","1","2","2","2","2","","2","2","2","2","6","2","6","6","6","6","","6","6","5","6","5","5","1","1","1","1","4","4","2","1","4","1","7","Breakfast "
"60","2024-03-31 15:17:26","5","en","1442531962","2024-03-31 15:12:15","2024-03-31 15:17:26","CE17","A","CE17 1711840793131","4","4","4","4","4","2","2","2","2","2","2","3","3","3","3","6","2","6","6","6","6","","2","6","2","2","2","6","2","2","2","2","4","4","4","4","2","2","6","Lunch"
"63","2024-04-03 15:20:46","5","en","1592815235","2024-04-03 15:19:36","2024-04-03 15:20:46","","","","4","4","3","3","4","","3","4","4","2","","3","4","2","4","4","4","4","4","4","4","","4","4","4","4","4","4","3","3","3","3","3","3","3","3","3","3","4","Jj"
"64","2024-04-03 15:22:01","5","en","800005430","2024-04-03 15:20:58","2024-04-03 15:22:01","","","","3","3","3","3","3","","3","3","3","3","","3","3","3","3","4","5","4","4","4","5","","4","3","4","4","4","4","3","3","3","3","3","3","3","3","3","3","4","Jj"
"65","2024-04-03 21:50:38","5","en","698516173","2024-04-03 21:45:46","2024-04-03 21:50:38","AM29","B","AM29 1712179807297","4","4","4","4","4","","2","2","2","2","","2","2","2","2","6","2","6","6","6","6","","5","5","5","6","2","2","1","1","1","1","2","4","2","1","3","1","7","Sitting together "
"66","2024-04-05 12:20:41","5","en","79232219","2024-04-05 12:10:08","2024-04-05 12:20:41","HJ42","B","HJ42 1712317579495","3","2","2","3","3","","2","2","2","2","5","2","2","2","2","6","4","6","6","6","6","","3","6","2","5","3","3","4","2","2","2","4","3","3","3","2","2","5","going out together"
"67","2024-04-05 12:48:57","5","en","1779218253","2024-04-05 12:44:34","2024-04-05 12:48:57","hp21","B","hp21 1712319551703","3","4","4","4","4","","2","2","5","3","","2","3","3","2","5","5","4","5","5","4","","3","5","3","3","4","4","2","2","2","1","2","4","4","2","2","2","5","Planing daily Activties "
"68","2024-04-08 11:02:47","5","en","356240309","2024-04-08 10:58:01","2024-04-08 11:02:47","HO30","B","HO30 1712573012478","4","4","3","3","3","","2","2","2","2","","2","2","2","2","6","6","2","2","2","2","","5","3","5","4","4","3","3","2","2","2","3","4","2","4","2","2","2","Gemeinsam im gleichen Raum arbeiten / Mittagessen "
"69","2024-04-08 11:44:54","5","en","2091116752","2024-04-08 11:40:58","2024-04-08 11:44:54","MV18","A","MV18 1712574988247","3","4","2","3","4","","2","1","1","1","","1","1","1","1","4","4","4","3","3","1","","2","4","5","3","4","5","4","3","2","2","3","4","4","4","2","3","2","Learning together "
"72","2024-04-08 16:12:04","5","en","819871343","2024-04-08 16:07:20","2024-04-08 16:12:04","LJ16","B","LJ16 1712592076573","3","3","4","2","3","","2","1","2","1","","1","1","1","2","7","1","7","6","6","2","","2","6","5","6","2","3","2","2","1","2","4","5","5","4","1","2","4","Lunch together, working next to each other after"
"73","2024-04-08 16:18:08","5","en","1040222750","2024-04-08 16:15:18","2024-04-08 16:18:08","MV18","A","MV18 1712590391990","3","4","3","3","3","","3","2","2","2","","1","1","1","1","4","4","2","2","3","1","","5","3","5","3","4","4","3","2","2","3","2","3","4","3","2","2","2","Study meeting "
"76","2024-04-08 17:01:07","5","en","1165731524","2024-04-08 16:54:50","2024-04-08 17:01:07","Mu06","","Mu06 1712595052820","4","4","3","4","4","","3","3","3","3","","3","3","3","3","6","4","4","5","4","5","","4","4","3","5","4","6","2","2","2","3","4","5","2","4","3","4","3","learning in the university "
"78","2024-04-08 22:52:06","5","en","30481853","2024-04-08 22:49:07","2024-04-08 22:52:06","MV18","A","MV18 1712599747611","3","3","3","3","4","","3","2","2","2","","2","2","2","1","4","3","3","3","4","3","","3","3","4","4","4","4","3","2","2","2","2","4","4","3","2","2","3","Study "
"82","2024-04-10 12:25:28","5","en","3430673","2024-04-10 12:20:41","2024-04-10 12:25:28","Mu06","A","Mu06 1712750183091","3","4","3","4","4","","2","1","2","1","","2","3","2","3","6","4","4","4","5","4","","2","5","3","5","5","3","3","2","2","2","4","5","3","4","3","4","3","chatting in between meetings at university"
"83","2024-04-10 17:26:09","5","en","603452126","2024-04-10 17:22:30","2024-04-10 17:26:09","MV18","A","MV18 1712767650758","3","4","3","3","3","","2","2","2","1","","1","1","1","1","5","2","5","5","5","6","","3","6","5","5","4","4","3","2","2","2","2","4","4","4","2","2","3","Talking randomly "
"84","2024-04-10 22:52:49","5","en","1403091779","2024-04-10 22:50:14","2024-04-10 22:52:49","MV18","A","MV18 1712784498218","3","3","3","3","3","","2","2","2","2","","2","2","2","2","6","3","5","6","5","5","","3","4","3","4","4","4","2","4","2","3","2","4","4","2","1","2","3","Chilling "
"85","2024-04-11 06:32:21","5","en","1174279404","2024-04-11 06:27:38","2024-04-11 06:32:21","Mu06","A","Mu06 1712784504267","4","4","4","4","4","","2","2","2","2","","2","2","3","3","5","4","4","5","4","4","","4","2","7","2","2","6","2","2","2","2","4","4","3","4","3","4","3","chilling"
"86","2024-04-11 10:54:31","5","en","390407878","2024-04-11 10:48:24","2024-04-11 10:54:31","HO30","B","HO30 1712832027889","4","4","3","3","3","","2","2","2","2","","2","2","2","3","3","6","2","2","3","2","","4","3","5","3","4","4","4","2","2","2","2","5","4","4","2","2","2","Mittagessen"
"87","2024-04-11 22:58:50","5","en","299978901","2024-04-11 22:56:48","2024-04-11 22:58:50","MV18","A","MV18 1712842808857","3","3","3","3","3","","2","2","2","2","","2","2","2","2","4","3","3","3","5","2","","5","3","5","3","4","5","3","2","2","2","2","4","4","2","2","2","3","Shopping "
"88","2024-04-15 18:29:31","5","en","1161946208","2024-04-15 18:24:49","2024-04-15 18:29:31","sm07","B","sm07 1713204411203","2","1","1","1","1","","1","1","1","1","","1","1","1","1","6","2","6","7","7","4","","2","7","1","7","1","1","1","1","1","1","3","3","2","1","1","1","6","Chilling and eating"
"89","2024-04-15 19:20:09","5","en","1780440837","2024-04-15 19:17:36","2024-04-15 19:20:09","ej15","","ej15 1713205710095","3","3","1","1","1","1","1","1","1","1","","1","1","1","1","6","1","6","7","7","4","","1","7","1","6","1","1","1","1","1","1","1","1","1","1","1","1","7","chill"
"90","2024-04-15 19:49:03","5","en","1433551243","2024-04-15 19:46:51","2024-04-15 19:49:03","sm07","B","sm07 1713209939232","3","3","1","1","1","","1","1","1","1","","1","1","1","1","7","1","7","7","7","4","","2","7","2","7","1","1","1","1","1","1","1","1","1","1","1","1","7","Cooking"
"91","2024-04-15 19:52:56","5","en","1244067553","2024-04-15 19:50:55","2024-04-15 19:52:56","ej15","B","ej15 1713210146113","2","1","1","1","2","1","1","1","1","1","","1","1","1","1","7","1","6","7","7","4","","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","7","kitchensession"
"93","2024-04-16 06:13:08","5","en","1668699890","2024-04-16 06:10:23","2024-04-16 06:13:08","sm07","","sm07 1713212742015","2","2","1","1","1","","1","1","1","1","","1","1","1","1","6","1","6","7","7","4","","1","7","2","6","1","1","1","1","1","1","1","1","1","1","1","1","7","Chill"
"94","2024-04-16 08:47:04","5","en","309361820","2024-04-16 08:42:29","2024-04-16 08:47:04","Mu06","B","Mu06 1713256408615","4","4","3","4","4","1","2","2","2","2","","2","2","3","3","5","3","4","4","5","5","","3","6","2","6","5","2","3","2","1","3","4","5","4","4","3","4","2","chat in pc-pool"
"95","2024-04-16 09:55:31","5","en","1303017067","2024-04-16 09:48:48","2024-04-16 09:55:31","sm07","B","sm07 1713259344728","2","2","1","1","1","","1","1","1","1","","1","1","1","1","5","1","6","7","7","4","","1","6","1","7","1","1","1","1","1","1","1","1","1","1","1","1","6","Breakfast"
"97","2024-04-16 10:35:10","5","en","1393332132","2024-04-16 10:32:49","2024-04-16 10:35:10","MV18","B","MV18 1713262811784","2","2","2","4","4","","1","1","1","1","","1","1","1","1","5","3","3","5","6","4","A3","4","4","4","5","4","3","4","2","3","3","2","4","4","2","2","2","3","Talking "
"99","2024-04-16 10:58:38","5","en","1037010927","2024-04-16 10:57:01","2024-04-16 10:58:38","sm07","B","sm07 1713263324612","2","2","1","2","2","","1","1","1","1","","1","1","1","1","6","2","6","7","7","4","","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","5","Lunch"
"100","2024-04-16 16:28:57","5","en","704556013","2024-04-16 16:22:39","2024-04-16 16:28:57","Mu06","B","Mu06 1713279642232","4","4","4","3","3","","3","2","3","2","","2","2","4","2","6","3","5","6","5","5","","4","3","5","3","5","5","4","3","2","4","4","4","3","4","3","4","3","chatting during work"
"101","2024-04-16 18:02:38","5","en","692001274","2024-04-16 17:53:56","2024-04-16 18:02:38","mm02","A","mm02 1713245777745","5","5","5","3","3","","3","3","3","3","","3","3","3","3","7","2","7","6","7","3","","2","6","5","5","4","2","2","2","1","2","2","2","1","1","1","1","6","Dinner together "
"102","2024-04-16 17:58:55","5","en","672931490","2024-04-16 17:54:14","2024-04-16 17:58:55","mm01","A","mm01 1713245751625","5","5","5","4","3","","1","1","2","1","","1","1","4","1","7","4","6","6","6","4","","5","5","5","6","4","4","4","4","4","4","2","4","2","3","2","4","6","Dinner together"
"103","2024-04-16 19:01:02","5","en","603782614","2024-04-16 18:58:04","2024-04-16 19:01:02","sm07","B","sm07 1713277584796","1","1","1","1","1","","1","1","1","1","","1","1","1","1","5","2","5","7","6","5","","1","7","1","5","1","2","1","1","1","1","1","1","1","1","1","1","5","Chill"
"104","2024-04-16 19:11:32","5","en","751424638","2024-04-16 19:09:21","2024-04-16 19:11:32","ej15","","ej15 1713281789634","2","1","1","2","1","","1","1","1","1","","1","1","1","1","6","1","7","7","7","3","A3","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","6","chilling"
"105","2024-04-16 20:01:35","5","en","766529118","2024-04-16 19:59:37","2024-04-16 20:01:35","sm07","","sm07 1713295940978","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","2","7","7","7","4","","1","7","1","5","2","4","1","1","1","1","1","1","1","1","1","1","6","Chill"
"106","2024-04-17 06:14:46","5","en","1117316549","2024-04-17 06:11:13","2024-04-17 06:14:46","ej15","B","ej15 1713331957801","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","6","3","7","7","7","2","","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","6","chilling"
"107","2024-04-17 09:18:57","5","en","1243655111","2024-04-17 09:15:49","2024-04-17 09:18:57","MV18","B","MV18 1713279646046","3","3","2","4","3","","1","1","1","2","","1","1","1","1","4","3","4","3","5","3","","4","3","5","3","4","4","4","3","3","3","2","4","2","2","2","2","3","Chilling (Zwischenstopp) "
"108","2024-04-17 10:26:16","5","en","185070313","2024-04-17 10:17:44","2024-04-17 10:26:16","mt28","B","mt28 1713346077690","5","4","4","3","4","","1","1","1","1","1","1","1","3","3","4","3","4","5","4","4","","2","3","3","4","4","4","1","1","1","1","3","4","4","1","3","2","2","Mittagessen in der Mensa"
"109","2024-04-17 10:33:10","5","en","408974822","2024-04-17 10:27:36","2024-04-17 10:33:10","rr16","B","rr16 1713346149416","5","5","3","4","5","","1","1","1","1","","1","1","1","2","6","6","2","2","4","1","","1","6","2","5","2","5","1","1","1","1","3","5","5","4","2","1","2","Working together"
"110","2024-04-17 13:52:40","5","en","52827997","2024-04-17 13:51:05","2024-04-17 13:52:40","ej15","B","ej15 1713336684202","1","2","2","1","2","","1","1","1","1","","1","1","1","1","6","1","6","6","6","4","A3","1","7","1","6","1","1","1","1","1","1","1","1","1","1","1","1","6","breakfast"
"111","2024-04-17 14:22:13","5","en","1024676939","2024-04-17 14:20:33","2024-04-17 14:22:13","sm07","B","sm07 1713362332960","2","2","1","1","3","","1","1","1","1","","1","1","1","1","6","2","7","7","7","5","","1","7","1","7","2","1","1","1","1","1","1","1","1","1","1","1","6","Chill"
"112","2024-04-17 16:57:47","5","en","2039296471","2024-04-17 16:54:56","2024-04-17 16:57:47","mt28","B","mt28 1713369445619","5","5","5","4","4","","1","1","1","1","1","1","1","3","1","3","5","4","3","3","5","","5","4","4","4","4","4","4","1","1","1","1","5","4","1","3","1","3","Essen bei der Cafete holen "
"114","2024-04-17 17:39:52","5","en","1189440331","2024-04-17 17:35:35","2024-04-17 17:39:52","rr16","B","rr16 1713369755396","5","4","3","3","2","","3","1","1","1","","1","1","1","1","4","2","2","1","4","1","A3","2","4","4","4","4","4","3","3","1","2","5","5","5","5","2","1","2","Working together"
"115","2024-04-17 18:51:59","5","en","2003160830","2024-04-17 18:49:53","2024-04-17 18:51:59","sm07","B","sm07 1713379361232","2","2","2","1","1","","1","1","1","1","","1","1","1","1","6","3","6","7","7","4","","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","6","afterwork chill"
"116","2024-04-17 19:50:03","5","en","2107165501","2024-04-17 19:47:21","2024-04-17 19:50:03","sm07","B","sm07 1713382821490","2","2","1","2","1","","1","1","1","1","","1","1","1","1","6","3","6","7","5","1","","1","7","1","5","3","3","1","1","1","1","1","1","1","1","1","1","5","Chill, cook, eat"
"117","2024-04-17 19:52:39","5","en","289383334","2024-04-17 19:50:36","2024-04-17 19:52:39","ej15","B","ej15 1713382967147","2","2","2","2","2","","1","1","1","1","","1","1","1","1","6","1","7","7","6","1","","2","5","5","5","2","1","1","1","1","1","1","1","1","1","1","1","6","eating"
"118","2024-04-18 08:30:38","5","en","1895621936","2024-04-18 08:28:56","2024-04-18 08:30:38","sm07","B","sm07 1713426451141","2","2","1","2","2","","1","1","1","1","","1","1","1","1","7","1","7","7","7","4","","2","7","2","6","1","2","1","1","1","1","1","1","1","1","1","1","7","Breakfast and chill"
"119","2024-04-18 10:33:54","5","en","995831682","2024-04-18 10:28:46","2024-04-18 10:33:54","HO30","A","HO30 1713434873914","4","4","3","3","3","","2","2","2","2","","1","2","2","3","4","5","4","3","4","3","","5","4","3","4","4","5","2","1","2","3","2","5","4","4","3","3","2","Mittagessen, kurzes Gespräch "
"120","2024-04-18 11:31:48","5","en","771021420","2024-04-18 11:30:20","2024-04-18 11:31:48","sm07","B","sm07 1713438665020","1","1","1","1","1","","1","1","1","1","","1","1","1","1","7","7","7","7","7","3","","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","7","Lunch & chill"
"122","2024-04-18 22:36:39","5","en","137961562","2024-04-18 22:30:51","2024-04-18 22:36:39","LJ16","","LJ16 1713445278229","5","4","2","2","3","","1","1","1","1","","2","2","2","2","6","2","6","6","6","3","A3","2","6","5","6","2","4","4","3","1","3","4","5","5","3","2","3","3","Coffee & snack break"
"123","2024-04-19 08:15:24","5","en","2062135774","2024-04-19 08:12:01","2024-04-19 08:15:24","sm07","B","sm07 1713511047653","1","1","1","1","1","","1","1","1","1","","1","1","1","1","7","3","7","7","7","4","","3","7","2","6","1","1","1","1","1","1","1","1","1","1","1","1","6","Breakfast"
"124","2024-04-20 22:35:41","5","en","1946897742","2024-04-20 22:32:45","2024-04-20 22:35:41","MV18","B","MV18 1713650585630","3","2","2","3","3","","1","1","1","1","","1","1","1","1","6","3","5","6","6","3","","4","5","5","5","3","2","3","3","3","3","2","4","4","2","2","2","4","Chilling, party "
"125","2024-04-21 08:27:13","5","en","1001552196","2024-04-21 08:25:47","2024-04-21 08:27:13","sm07","B","sm07 1713686929235","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","2","7","7","7","4","","2","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","6","Breakfast"
"126","2024-04-21 12:53:37","5","en","1459187608","2024-04-21 12:49:57","2024-04-21 12:53:37","Mu06","","Mu06 1713650548144","4","4","3","4","4","","2","2","3","2","","2","2","3","2","6","2","5","6","6","4","","3","5","3","5","3","3","4","2","2","3","4","5","3","4","3","4","2","breakfast with friends"
"127","2024-04-21 13:43:01","5","en","450571211","2024-04-21 13:41:00","2024-04-21 13:43:01","sm07","B","sm07 1713705547916","1","1","1","1","1","","1","1","1","1","","1","1","1","1","7","2","7","7","7","4","","1","7","1","7","1","1","1","1","1","1","1","1","1","1","1","1","7","Planning cooking action, search together for recipe"
"128","2024-04-22 08:00:39","5","en","1990501714","2024-04-22 07:58:17","2024-04-22 08:00:39","sm07","A","sm07 1713770299598","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","2","6","6","6","3","","2","6","2","6","2","2","1","1","1","1","1","1","1","1","1","1","5","Eat"
"129","2024-04-22 18:29:51","5","en","1246860064","2024-04-22 18:27:12","2024-04-22 18:29:51","sm07","A","sm07 1713802124851","1","1","1","1","1","","1","1","1","1","1","1","1","1","1","6","3","6","6","7","4","","2","7","2","6","2","1","1","1","1","1","1","1","1","1","1","1","5","Private office"
"130","2024-04-22 19:14:29","5","en","119906752","2024-04-22 19:10:54","2024-04-22 19:14:29","sm07","A","sm07 1713810802141","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","3","6","7","7","4","","1","7","1","6","1","1","1","1","1","1","1","1","1","1","1","1","6","Cooking and dinner"
"132","2024-04-23 08:46:57","5","en","1673166525","2024-04-23 08:44:46","2024-04-23 08:46:57","sm07","A","sm07 1713859257054","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","3","6","4","5","2","","2","5","2","5","4","4","1","1","1","1","1","1","1","1","1","1","4","Breakfast"
"133","2024-04-23 20:06:17","5","en","1951178490","2024-04-23 20:04:27","2024-04-23 20:06:17","sm07","A","sm07 1713900795196","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","2","6","6","4","3","","2","6","2","6","2","2","1","1","1","1","1","1","1","1","1","1","4","Chill, dinner"
"134","2024-04-24 07:31:42","5","en","2057065866","2024-04-24 07:30:05","2024-04-24 07:31:42","sm07","A","sm07 1713942204962","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","6","2","6","6","6","4","","2","6","6","6","2","2","1","1","1","1","1","1","1","1","1","1","5","Breakfast"
"135","2024-04-25 08:03:42","5","en","319775265","2024-04-25 08:01:18","2024-04-25 08:03:42","sm07","A","sm07 1714028307861","1","1","1","1","1","","1","1","1","1","","1","1","1","1","5","4","6","6","5","2","","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","4","Breakfasr"
"136","2024-04-25 17:29:02","5","en","726397903","2024-04-25 17:27:23","2024-04-25 17:29:02","sm07","A","sm07 1714063011181","1","1","1","1","1","1","1","1","1","1","","1","1","1","1","4","4","4","4","4","4","","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","5","Dinner, chill, work"
"137","2024-04-25 19:30:27","5","en","778615644","2024-04-25 19:28:12","2024-04-25 19:30:27","sm07","A","sm07 1714072233567","1","1","1","1","1","","1","1","1","1","","1","1","1","1","4","4","4","4","2","6","","1","5","2","2","2","4","1","1","1","1","1","1","1","1","1","1","2","Dinner"
"138","2024-04-26 13:08:48","5","en","66424411","2024-04-26 13:06:37","2024-04-26 13:08:48","sm07","A","sm07 1714128867465","1","1","1","1","1","","1","1","1","1","","1","1","1","1","4","4","4","4","4","4","","4","4","4","4","4","4","1","1","1","1","1","1","1","1","1","1","4","Chill"
"139","2024-04-28 10:04:27","5","en","312459884","2024-04-28 10:01:50","2024-04-28 10:04:27","sm07","A","sm07 1714298161084","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","3","5","6","4","3","","1","6","1","6","1","1","1","1","1","1","1","1","1","1","1","1","4","Breakfast"
"140","2024-04-28 11:46:52","5","en","943413750","2024-04-28 11:44:44","2024-04-28 11:46:52","sm07","A","sm07 1714301788919","1","1","1","1","1","","1","1","1","1","","1","1","1","1","6","1","6","4","6","4","","1","7","1","6","1","1","1","1","1","1","1","1","1","1","1","1","6","Chill"
